,bearing,carriages,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,revenue,speed,updated_at
R-547C72AD,0.0,"[{'label': '1515', 'occupancy_percentage': 5, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1514', 'occupancy_percentage': 5, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1645', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1644', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1752', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1753', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",IN_TRANSIT_TO,210.0,1.0,1515,42.38923,-71.11931,,REVENUE,,2024-05-23T14:25:31-04:00
y3157,180.0,[],STOPPED_AT,1.0,0.0,3157,42.38769,-71.07327,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:20-04:00
G-10200,90.0,"[{'label': '3685', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3855', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,380.0,1.0,3685-3855,42.33514,-71.1482,,REVENUE,3.9,2024-05-23T14:25:10-04:00
y2077,143.0,[],IN_TRANSIT_TO,27.0,1.0,2077,42.48131852,-71.18676814,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y2008,0.0,[],STOPPED_AT,1.0,1.0,2008,42.38414495,-71.07451094,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1931,302.0,[],IN_TRANSIT_TO,3.0,0.0,1931,42.37449611,-71.08347272,,REVENUE,,2024-05-23T14:25:35-04:00
O-547C72AF,185.0,"[{'label': '1498', 'occupancy_percentage': 9, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1499', 'occupancy_percentage': 6, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1449', 'occupancy_percentage': 6, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1448', 'occupancy_percentage': 7, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1441', 'occupancy_percentage': 7, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1440', 'occupancy_percentage': 8, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}]",STOPPED_AT,1.0,0.0,1498,42.43773,-71.07093,,REVENUE,,2024-05-23T14:24:07-04:00
y1671,0.0,[],STOPPED_AT,9.0,0.0,1671,42.28411868,-71.09097986,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
B-547C729A,20.0,"[{'label': '0757', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0756', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0723', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0722', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0743', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0742', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",IN_TRANSIT_TO,1.0,0.0,0742,42.41577,-70.99044,,REVENUE,,2024-05-23T14:24:45-04:00
y1709,45.0,[],STOPPED_AT,1.0,0.0,1709,42.2997,-71.11451,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:24:29-04:00
O-547C7296,300.0,"[{'label': '1442', 'occupancy_percentage': 15, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1443', 'occupancy_percentage': 17, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1489', 'occupancy_percentage': 11, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1488', 'occupancy_percentage': 15, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1471', 'occupancy_percentage': 9, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1470', 'occupancy_percentage': 12, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}]",STOPPED_AT,140.0,1.0,1442,42.37384,-71.0703,,REVENUE,,2024-05-23T14:24:48-04:00
y0871,160.0,[],IN_TRANSIT_TO,37.0,1.0,0871,42.44226375,-71.135899949,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y0834,315.0,[],IN_TRANSIT_TO,26.0,1.0,0834,42.2457046,-71.0003255,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:16-04:00
y1849,105.0,[],STOPPED_AT,12.0,1.0,1849,42.35340877,-71.136542059,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y2018,163.0,[],IN_TRANSIT_TO,3.0,0.0,2018,42.37074606,-71.06564681,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1612,5.0,[],STOPPED_AT,1.0,0.0,1612,42.33855712,-71.10243775,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1638,0.0,[],STOPPED_AT,8.0,1.0,1638,42.261043809,-71.1572084,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:21-04:00
1845,43.0,[],IN_TRANSIT_TO,10.0,1.0,1845,42.171077728271484,-71.2209243774414,,REVENUE,13.9,2024-05-23T14:25:09-04:00
y1902,175.0,[],IN_TRANSIT_TO,9.0,0.0,1902,42.31609213,-71.098274869,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:38-04:00
y2001,261.0,[],IN_TRANSIT_TO,44.0,0.0,2001,42.376604419,-71.23464735,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
R-547C72A6,85.0,"[{'label': '1727', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1726', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1741', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1740', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1701', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1700', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,1.0,0.0,1727,42.39618,-71.14054,,REVENUE,,2024-05-23T14:21:57-04:00
y2062,135.0,[],IN_TRANSIT_TO,8.0,1.0,2062,42.3704,-71.06099,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:31-04:00
y3287,291.0,[],STOPPED_AT,1.0,1.0,3287,42.3575015,-71.18383214,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y3230,311.0,[],STOPPED_AT,1.0,0.0,3230,42.33257222,-71.080228309,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y0781,197.0,[],STOPPED_AT,36.0,0.0,0781,42.22469605,-71.07075552,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y1838,315.0,[],IN_TRANSIT_TO,16.0,0.0,1838,42.33620974,-71.08754831,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1645,217.0,[],IN_TRANSIT_TO,24.0,0.0,1645,42.26159546,-71.15682956,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
y1819,28.0,[],STOPPED_AT,1.0,0.0,1819,42.33937092,-71.101628809,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y3154,135.0,[],STOPPED_AT,1.0,0.0,3154,42.3878,-71.07323,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:06-04:00
y1646,19.0,[],IN_TRANSIT_TO,38.0,0.0,1646,42.25659294,-71.167278649,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:38-04:00
y1652,45.0,[],STOPPED_AT,1.0,0.0,1652,42.28485,-71.14761,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:20-04:00
y2024,5.0,[],STOPPED_AT,1.0,1.0,2024,42.43257896,-71.0242143,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1965,216.0,[],STOPPED_AT,24.0,1.0,1965,42.46206309,-71.29226505,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1766,180.0,[],STOPPED_AT,1.0,0.0,1766,42.33671,-71.08862,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:31-04:00
y0848,0.0,[],STOPPED_AT,1.0,1.0,0848,42.4266051,-71.0747195,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y1213,0.0,[],IN_TRANSIT_TO,34.0,0.0,1213,42.26778537,-71.09384202,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:11-04:00
G-10048,90.0,"[{'label': '3234', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",IN_TRANSIT_TO,,1.0,3234,42.26756,-71.09225,,REVENUE,,2024-05-23T14:24:59-04:00
