,bearing,carriages,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,revenue,speed,updated_at
y1273,33.0,[],IN_TRANSIT_TO,11.0,1.0,1273,42.351069959,-71.063055199,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
1847,,[],STOPPED_AT,70.0,0.0,1847,42.2811279296875,-71.16031646728516,,REVENUE,2.2,2024-05-23T14:25:14-04:00
y3352,45.0,[],STOPPED_AT,1.0,1.0,3352,42.38692,-71.00516,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:10-04:00
y1791,221.0,[],IN_TRANSIT_TO,2.0,0.0,1791,42.33194909,-71.09404206,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1831,0.0,[],STOPPED_AT,5.0,0.0,1831,42.33142451,-71.09364562,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y3231,45.0,[],IN_TRANSIT_TO,23.0,1.0,3231,42.32028,-71.0617,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:10-04:00
y1763,342.0,[],STOPPED_AT,1.0,0.0,1763,42.28617428,-71.064187619,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1600,356.0,[],STOPPED_AT,17.0,0.0,1600,42.287089059,-71.14990974,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y2092,180.0,[],STOPPED_AT,1.0,1.0,2092,42.38454,-71.07629,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y0856,0.0,[],IN_TRANSIT_TO,4.0,1.0,0856,42.48584682,-71.10028096,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1897,257.0,[],STOPPED_AT,1.0,0.0,1897,42.35540083,-71.056969499,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y2012,315.0,[],IN_TRANSIT_TO,5.0,0.0,2012,42.38971,-71.08792,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y1868,0.0,[],STOPPED_AT,1.0,0.0,1868,42.33633556,-71.0890732,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:21-04:00
G-10282,135.0,"[{'label': '3600', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3821', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",IN_TRANSIT_TO,340.0,1.0,3600-3821,42.32452,-71.22834,,REVENUE,17.3,2024-05-23T14:25:36-04:00
y1411,1.0,[],STOPPED_AT,14.0,0.0,1411,42.44824938,-71.06805588,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y2005,0.0,[],STOPPED_AT,1.0,1.0,2005,42.42481415,-71.184824809,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:24:20-04:00
O-547C6FA1,195.0,"[{'label': '1474', 'occupancy_percentage': 5, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1475', 'occupancy_percentage': 10, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1505', 'occupancy_percentage': 18, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1504', 'occupancy_percentage': 15, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1457', 'occupancy_percentage': 10, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1456', 'occupancy_percentage': 11, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}]",STOPPED_AT,160.0,0.0,1474,42.32319,-71.09988,,REVENUE,,2024-05-23T14:25:20-04:00
y3344,223.0,[],IN_TRANSIT_TO,43.0,1.0,3344,42.37388141,-71.05863562,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y0760,270.0,[],STOPPED_AT,20.0,1.0,0760,42.2622722,-70.98615,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:31-04:00
y1278,44.0,[],STOPPED_AT,4.0,1.0,1278,42.33684944,-71.07651903,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1840,106.0,[],IN_TRANSIT_TO,33.0,0.0,1840,42.28364211,-71.064391529,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1874,0.0,[],IN_TRANSIT_TO,25.0,1.0,1874,42.33022306,-71.06083358,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1727,45.0,[],IN_TRANSIT_TO,29.0,1.0,1727,42.333100629,-71.074013789,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y1343,0.0,[],IN_TRANSIT_TO,2.0,0.0,1343,42.35245949,-71.04699105,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:19-04:00
y2064,296.0,[],STOPPED_AT,8.0,0.0,2064,42.3839946,-71.13435904,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1871,0.0,[],STOPPED_AT,1.0,0.0,1871,42.3385,-71.10219,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:12-04:00
y1679,45.0,[],STOPPED_AT,1.0,0.0,1679,42.33827,-71.1024,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
1708,,[],STOPPED_AT,0.0,0.0,1708,42.36626434326172,-71.06253814697266,,REVENUE,,2024-05-23T14:24:48-04:00
y2102,81.0,[],STOPPED_AT,17.0,0.0,2102,42.40521469,-71.03171116,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1837,352.0,[],STOPPED_AT,6.0,1.0,1837,42.29349726,-71.07184723,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
1810,,[],STOPPED_AT,40.0,1.0,1810,42.10719299316406,-71.02239227294922,,REVENUE,3.1,2024-05-23T14:24:56-04:00
y1909,40.0,[],IN_TRANSIT_TO,20.0,1.0,1909,42.3341896,-71.1122022,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:30-04:00
y2098,135.0,[],IN_TRANSIT_TO,3.0,0.0,2098,42.36241,-71.08574,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y1259,180.0,[],STOPPED_AT,10.0,0.0,1259,42.31984,-71.0816,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y0827,161.0,[],IN_TRANSIT_TO,12.0,0.0,0827,42.26763805,-71.045736869,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y3156,315.0,[],STOPPED_AT,1.0,1.0,3156,42.41565,-71.03306,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y1904,116.0,[],STOPPED_AT,19.0,0.0,1904,42.32824593,-71.12573075,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
B-547C72B8,260.0,"[{'label': '0700', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0701', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0733', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0732', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0755', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0754', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,80.0,0.0,0700,42.35957,-71.05163,,REVENUE,,2024-05-23T14:25:12-04:00
y1710,68.0,[],IN_TRANSIT_TO,17.0,1.0,1710,42.290521239,-71.09972534,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y0821,17.0,[],IN_TRANSIT_TO,44.0,1.0,0821,42.20723218,-70.99984444,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:27-04:00
B-547C7298,185.0,"[{'label': '0726', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0727', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0741', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0740', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0703', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0702', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,10.0,0.0,0726,42.41012,-70.99278,,REVENUE,,2024-05-23T14:25:30-04:00
y3100,217.0,[],IN_TRANSIT_TO,44.0,1.0,3100,42.46597016,-70.94269631,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y1609,143.0,[],IN_TRANSIT_TO,4.0,1.0,1609,42.32824945,-71.14467019,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y2069,270.0,[],STOPPED_AT,1.0,0.0,2069,42.36566,-71.0822,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:20-04:00
y3105,340.0,[],STOPPED_AT,23.0,1.0,3105,42.365022949,-71.02975121,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
B-547C750B,125.0,"[{'label': '0769', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0768', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0781', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0780', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0758', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0759', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",IN_TRANSIT_TO,,1.0,0769,42.38711,-71.00211,,NON_REVENUE,,2024-05-23T14:15:27-04:00
y3236,129.0,[],STOPPED_AT,1.0,1.0,3236,42.33837932,-71.03105118,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y2055,135.0,[],STOPPED_AT,1.0,0.0,2055,42.39636,-71.14141,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:18:05-04:00
y1328,135.0,[],STOPPED_AT,1.0,1.0,1328,42.32968,-71.08373,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:07-04:00
y1848,285.0,[],STOPPED_AT,20.0,0.0,1848,42.33188658,-71.11757094,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1726,0.0,[],STOPPED_AT,6.0,1.0,1726,42.29357365,-71.07190787,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
y3357,0.0,[],STOPPED_AT,1.0,1.0,3357,42.4697699,-70.98383418,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:22-04:00
y1969,228.0,[],STOPPED_AT,1.0,0.0,1969,42.376352099,-71.11964585,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1881,154.0,[],IN_TRANSIT_TO,27.0,0.0,1881,42.287418989,-71.06506551,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1888,315.0,[],STOPPED_AT,1.0,0.0,1888,42.34109,-71.05776,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y1747,0.0,[],IN_TRANSIT_TO,17.0,1.0,1747,42.31549871,-71.06682148,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:28-04:00
y1417,0.0,[],STOPPED_AT,1.0,0.0,1417,42.42635211,-71.08265635,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:15-04:00
y2109,230.0,[],STOPPED_AT,12.0,0.0,2109,42.37071583,-71.15883282,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y1863,0.0,[],IN_TRANSIT_TO,16.0,0.0,1863,42.313297059,-71.06510081,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y3271,135.0,[],IN_TRANSIT_TO,,,3271,42.35412,-71.11123,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1255,1.0,[],IN_TRANSIT_TO,24.0,1.0,1255,42.31549059,-71.08341669,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y0841,316.0,[],STOPPED_AT,1.0,0.0,0841,42.42678841,-71.08011684,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:38-04:00
R-547C6D6E,95.0,"[{'label': '1856', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1857', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1851', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1850', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1826', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1827', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,60.0,0.0,1856,42.36122,-71.07162,,REVENUE,,2024-05-23T14:25:10-04:00
y1910,182.0,[],IN_TRANSIT_TO,2.0,0.0,1910,42.33528641,-71.09017996,,REVENUE,,2024-05-23T14:25:35-04:00
y2052,0.0,[],IN_TRANSIT_TO,19.0,0.0,2052,42.42559944,-71.06768803,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
G-10045,225.0,"[{'label': '3889', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3669', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,430.0,0.0,3889-3669,42.3372,-71.14466,,REVENUE,6.8,2024-05-23T14:25:15-04:00
y3330,0.0,[],STOPPED_AT,1.0,1.0,3330,42.46843681,-70.98459602,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:24:44-04:00
y1675,23.0,[],IN_TRANSIT_TO,32.0,1.0,1675,42.19550332,-71.200021259,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1666,164.0,[],IN_TRANSIT_TO,50.0,0.0,1666,42.27899039,-71.16735765,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1728,0.0,[],STOPPED_AT,30.0,1.0,1728,42.33199901,-71.09781116,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y1217,2.0,[],STOPPED_AT,4.0,1.0,1217,42.27353226,-71.09348055,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1291,149.0,[],IN_TRANSIT_TO,3.0,0.0,1291,42.35109294,-71.064746619,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1972,110.0,[],IN_TRANSIT_TO,24.0,1.0,1972,42.38370402,-71.10931771,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1903,107.0,[],IN_TRANSIT_TO,6.0,1.0,1903,42.30195587,-71.08578933,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y2057,143.0,[],IN_TRANSIT_TO,21.0,1.0,2057,42.37745747,-71.12286423,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:30-04:00
y2116,230.0,[],IN_TRANSIT_TO,22.0,1.0,2116,42.3905,-71.04105307,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y3148,317.0,[],IN_TRANSIT_TO,13.0,0.0,3148,42.39074676,-71.09882108,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1408,0.0,[],STOPPED_AT,1.0,0.0,1408,42.37368728,-71.11935272,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:22-04:00
y0892,0.0,[],STOPPED_AT,46.0,1.0,0892,42.42544663,-71.07022174,,REVENUE,,2024-05-23T14:25:33-04:00
G-10198,280.0,"[{'label': '3915', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3910', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,140.0,0.0,3915-3910,42.34901,-71.09816,,REVENUE,,2024-05-23T14:25:27-04:00
R-547C6CCC,355.0,"[{'label': '1601', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1600', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1736', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1737', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1615', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1614', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,130.0,1.0,1601,42.35108,-71.05232,,REVENUE,,2024-05-23T14:25:26-04:00
G-10130,0.0,"[{'label': '3263', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,7.0,1.0,3263,42.27532,-71.05888,,REVENUE,7.1,2024-05-23T14:25:36-04:00
y1606,193.0,[],STOPPED_AT,1.0,0.0,1606,42.30025271,-71.1136942,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y3329,216.0,[],STOPPED_AT,1.0,1.0,3329,42.426789919,-70.93543638,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1674,0.0,[],STOPPED_AT,1.0,0.0,1674,42.32929163,-71.0838851,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:31-04:00
y0796,180.0,[],STOPPED_AT,16.0,0.0,0796,42.28111414,-71.024046449,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
1846,41.0,[],IN_TRANSIT_TO,80.0,1.0,1846,42.34227752685547,-71.08273315429688,,REVENUE,16.5,2024-05-23T14:25:04-04:00
O-547C72CB,355.0,"[{'label': '1428', 'occupancy_percentage': 15, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1429', 'occupancy_percentage': 12, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1437', 'occupancy_percentage': 6, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1436', 'occupancy_percentage': 18, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1407', 'occupancy_percentage': 17, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1406', 'occupancy_percentage': 15, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}]",STOPPED_AT,110.0,1.0,1428,42.35881,-71.05775,,REVENUE,,2024-05-23T14:25:13-04:00
1809,,[],STOPPED_AT,70.0,1.0,1809,42.52411651611328,-70.89594268798828,,REVENUE,,2024-05-23T14:25:14-04:00
B-547C72C1,230.0,"[{'label': '0786', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0787', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0737', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0736', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0716', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '0717', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,50.0,0.0,0786,42.38367,-71.01259,,REVENUE,,2024-05-23T14:25:33-04:00
y2013,39.0,[],IN_TRANSIT_TO,22.0,0.0,2013,42.36621295,-71.125784049,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1882,0.0,[],IN_TRANSIT_TO,13.0,0.0,1882,42.316700989,-71.06579074,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:31-04:00
y1998,130.0,[],STOPPED_AT,5.0,1.0,1998,42.42383767,-71.06391599,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y1256,0.0,[],STOPPED_AT,4.0,0.0,1256,42.3310016,-71.08939511,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
G-10034,105.0,"[{'label': '3900', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3919', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,560.0,1.0,3900-3919,42.34795,-71.08686,,REVENUE,,2024-05-23T14:24:53-04:00
G-10262,120.0,"[{'label': '3885', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3618', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,660.0,1.0,3885-3618,42.37705,-71.09396,,REVENUE,,2024-05-23T14:25:18-04:00
y3270,90.0,[],STOPPED_AT,1.0,0.0,3270,42.3487,-71.09648,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:21-04:00
y1894,308.0,[],IN_TRANSIT_TO,14.0,0.0,1894,42.333932459,-71.12124759,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
1825,321.0,[],IN_TRANSIT_TO,140.0,0.0,1825,42.25918960571289,-71.76124572753906,,REVENUE,6.7,2024-05-23T14:25:13-04:00
y0813,0.0,[],STOPPED_AT,15.0,0.0,0813,42.22946206,-70.97135899,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y2066,0.0,[],IN_TRANSIT_TO,15.0,1.0,2066,42.41444432,-71.25319875,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:26-04:00
y1321,90.0,[],STOPPED_AT,4.0,1.0,1321,42.34469,-71.03467,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y2103,315.0,[],STOPPED_AT,1.0,1.0,2103,42.41418,-71.14987,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y2051,239.0,[],IN_TRANSIT_TO,16.0,1.0,2051,42.37677074,-71.113793539,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
1855,,[],STOPPED_AT,0.0,1.0,1855,41.58213424682617,-71.4908218383789,,REVENUE,,2024-05-23T14:25:08-04:00
y3345,73.0,[],IN_TRANSIT_TO,33.0,0.0,3345,42.41869859,-70.99203736,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:29-04:00
1844,173.0,[],IN_TRANSIT_TO,20.0,0.0,1844,42.31890106201172,-71.05199432373047,,REVENUE,7.6,2024-05-23T14:25:16-04:00
G-10126,125.0,"[{'label': '3716', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3856', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,10.0,0.0,3716-3856,42.36668,-71.06772,,REVENUE,6.0,2024-05-23T14:25:14-04:00
1838,,[],STOPPED_AT,70.0,1.0,1838,42.328163146972656,-71.0652084350586,,REVENUE,,2024-05-23T14:25:02-04:00
y1729,327.0,[],IN_TRANSIT_TO,28.0,1.0,1729,42.33749033,-71.07189784,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1434,21.0,[],IN_TRANSIT_TO,2.0,0.0,1434,42.37182966,-71.03888355,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
G-10117,210.0,"[{'label': '3704', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3814', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,60.0,0.0,3704-3814,42.35631,-71.06277,,REVENUE,,2024-05-23T14:25:00-04:00
1806,,[],IN_TRANSIT_TO,10.0,0.0,1806,42.347564697265625,-71.07331085205078,,REVENUE,,2024-05-23T14:25:13-04:00
y1331,318.0,[],IN_TRANSIT_TO,5.0,1.0,1331,42.36756622,-71.0183258,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1714,30.0,[],STOPPED_AT,1.0,0.0,1714,42.33746921,-71.10296901,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:19-04:00
y3252,40.0,[],STOPPED_AT,1.0,1.0,3252,42.34465088,-71.06048447,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1200,45.0,[],STOPPED_AT,1.0,0.0,1200,42.3362,-71.09024,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:24:18-04:00
y3347,0.0,[],STOPPED_AT,1.0,1.0,3347,42.417728429,-71.00270892,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
y1770,315.0,[],IN_TRANSIT_TO,20.0,0.0,1770,42.31315,-71.09476,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:10-04:00
y1983,122.0,[],IN_TRANSIT_TO,5.0,1.0,1983,42.35731517,-71.15317579,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
1805,88.0,[],IN_TRANSIT_TO,130.0,1.0,1805,42.34761047363281,-71.09794616699219,,REVENUE,5.4,2024-05-23T14:25:11-04:00
y1832,321.0,[],IN_TRANSIT_TO,27.0,0.0,1832,42.36010348,-71.12841701,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1749,180.0,[],STOPPED_AT,1.0,0.0,1749,42.3369,-71.0885,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:06-04:00
y3332,90.0,[],STOPPED_AT,7.0,0.0,3332,42.37825,-71.02928,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
y2091,0.0,[],STOPPED_AT,26.0,1.0,2091,42.361873809,-71.1439525,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
y1859,225.0,[],IN_TRANSIT_TO,12.0,0.0,1859,42.31074,-71.08333,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:30-04:00
y1673,229.0,[],IN_TRANSIT_TO,32.0,0.0,1673,42.28582567,-71.15575247,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1911,0.0,[],STOPPED_AT,41.0,0.0,1911,42.32046612,-71.05199604,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
1800,,[],IN_TRANSIT_TO,20.0,1.0,1800,41.90080261230469,-71.33789825439453,,REVENUE,4.5,2024-05-23T14:24:49-04:00
y1447,191.0,[],STOPPED_AT,35.0,1.0,1447,42.435164089,-71.03848667,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1207,200.0,[],IN_TRANSIT_TO,22.0,0.0,1207,42.31068982,-71.11474182,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
