,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
2332,,Pleasant Street,,42.40387,0,-71.166224,Belmont,Brighton St @ Pleasant St,Brighton Street,,,3.0,0
730,,Sidney Street,,42.361836,0,-71.100647,Cambridge,Franklin St @ Sidney St,Franklin Street,,,3.0,1
5760,,Fenno Street,,42.406365,0,-71.014559,Revere,Broadway @ Beach St,Broadway,,,3.0,1
111747,,Pagoda Street,,42.255922,0,-71.099238,Milton,Blue Hill Ave opp Pagoda St,Blue Hill Avenue,,,3.0,0
6154,,,,42.482758,0,-70.912242,Swampscott,Essex St @ Alvin Rd,Essex Street,,,3.0,0
node-spmnl-obstairs-lobby,,,Science Park/West End - Bottom of outbound platform stairs,42.36681,3,-71.067754,Boston,Science Park/West End,,,,,1
1514,,Eunice Street,,42.304293,0,-71.069728,Boston,Bowdoin St @ Eunice St,Bowdoin Street,,,3.0,1
4856,,Oak Island Street,,42.425153,0,-70.985951,Revere,N Shore Rd @ Oak Island St,North Shore Road,,,3.0,1
7465,,Stocker Street,,42.456638,0,-70.993295,Saugus,Winter St @ Stocker St,Winter Street,,,3.0,1
7605,,Dartmouth Street,,42.371069,0,-71.250209,Waltham,South St @ Dartmouth St,South Street,,,3.0,1
node-jfk-ashgasstair-platform,,,"JFK/UMass - Bottom of southern stairs between Ashmont, Alewife platform and lobby",42.320412,3,-71.05246,Boston,JFK/UMass,,,,,1
node-orhte-benn-fareunpaid,,,Orient Heights - Unpaid side of fare gates,42.387043,3,-71.004634,Boston,Orient Heights,,,,,1
node-956-bridge,,,Airport - Top of Elevator 956,42.374094,3,-71.030254,Boston,Airport,,,,,1
4597,,Commonwealth Ave,,42.54838,0,-70.942894,Danvers,Endicott St @ Commonwealth Ave,Endicott Street,,,3.0,1
1875,,Wedgewood Road,,42.294339,0,-71.136765,Boston,Weld St @ Wedgewood Rd,Weld Street,,,3.0,1
45327,,Charles Street,,42.423343,0,-71.074847,Malden,Commercial St @ Charles St,Commercial Street,,,3.0,1
node-spmnl-nfareunpaid,,,Science Park/West End - Unpaid side of fare gates,42.366799,3,-71.067842,Boston,Science Park/West End,,,,,1
6837,,Chatham Street,,42.470279,0,-70.933344,Lynn,Trinity Ave @ Chatham St,Trinity Avenue,,,3.0,1
9340,,Coleman Street,,42.434046,0,-71.036057,Malden,Hunting St @ Coleman St,Hunting Street,,,3.0,1
